iter	Passed	Remaining
0	15	3183
1	33	3281
2	46	3047
3	63	3103
4	80	3151
5	97	3159
6	114	3168
7	138	3321
8	155	3307
9	164	3131
10	182	3143
11	200	3140
12	219	3159
13	236	3147
14	249	3083
15	269	3095
16	278	3000
17	296	3001
18	306	2918
19	324	2916
20	345	2947
21	364	2951
22	377	2904
23	393	2888
24	410	2871
25	428	2866
26	445	2852
27	463	2846
28	480	2835
29	497	2821
30	515	2810
31	533	2802
32	552	2793
33	569	2781
34	586	2764
35	604	2751
36	621	2738
37	639	2727
38	654	2700
39	671	2687
40	680	2639
41	692	2604
42	708	2587
43	725	2572
44	742	2556
45	751	2515
46	768	2500
47	786	2489
48	803	2477
49	817	2451
50	835	2440
51	852	2425
52	869	2410
53	886	2397
54	903	2382
55	922	2370
56	939	2356
57	956	2342
58	973	2327
59	990	2311
60	1008	2297
61	1025	2282
62	1042	2267
63	1055	2243
64	1072	2228
65	1090	2214
66	1099	2182
67	1109	2153
68	1114	2116
69	1131	2101
70	1149	2087
71	1165	2072
72	1182	2056
73	1191	2029
74	1209	2015
75	1227	2002
76	1244	1988
77	1262	1974
78	1279	1959
79	1297	1946
80	1315	1933
81	1333	1918
82	1350	1903
83	1367	1888
84	1384	1873
85	1401	1857
86	1417	1841
87	1435	1826
88	1451	1810
89	1468	1794
90	1485	1779
91	1502	1763
92	1519	1748
93	1538	1734
94	1547	1710
95	1565	1695
96	1581	1679
97	1587	1651
98	1599	1632
99	1605	1605
100	1624	1592
101	1641	1577
102	1658	1562
103	1675	1546
104	1681	1521
105	1697	1505
106	1711	1487
107	1728	1472
108	1745	1457
109	1762	1441
110	1771	1420
111	1787	1404
112	1805	1390
113	1824	1376
114	1837	1358
115	1856	1344
116	1874	1329
117	1892	1315
118	1911	1300
119	1928	1285
120	1940	1267
121	1957	1251
122	1973	1235
123	1991	1220
124	2008	1205
125	2024	1189
126	2041	1173
127	2058	1158
128	2076	1142
129	2094	1127
130	2099	1105
131	2116	1090
132	2133	1074
133	2142	1055
134	2159	1039
135	2177	1024
136	2194	1009
137	2208	992
138	2225	976
139	2242	960
140	2247	940
141	2264	924
142	2281	909
143	2287	889
144	2305	874
145	2323	859
146	2340	843
147	2352	826
148	2369	810
149	2386	795
150	2403	779
151	2420	764
152	2433	747
153	2450	732
154	2467	716
155	2484	700
156	2501	685
157	2516	668
158	2527	651
159	2544	636
160	2560	620
161	2578	604
162	2595	589
163	2628	576
164	2644	561
165	2661	545
166	2678	529
167	2694	513
168	2710	497
169	2727	481
170	2744	465
171	2761	449
172	2775	433
173	2792	417
174	2810	401
175	2827	385
176	2846	369
177	2863	353
178	2872	337
179	2890	321
180	2907	305
181	2924	289
182	2940	273
183	2958	257
184	2975	241
185	2991	225
186	3008	209
187	3025	193
188	3041	177
189	3059	161
190	3076	144
191	3089	128
192	3106	112
193	3124	96
194	3157	80
195	3175	64
196	3194	48
197	3212	32
198	3229	16
199	3246	0
